Product,Brand,Purpose,Notes,Dupe Product?,Alternative For,TikTok Reference Video
All Purpose Nu-Stock,Riggin's,Cystic Acne Spot Treatment,High in sulfur,Yes,Acne Treatment by De La Cruz,https://www.tiktok.com/@ninaghoulina/video/7445469560947346718
Discolouration Correcting Serum,Good Molecules,Discolouration Serum,,No,,https://www.tiktok.com/@ninaghoulina/video/7445689116492172575
Dry Texture Finishing Spray,TRESemme,Hairspray,,Yes,Dry Texture Spray by Kenra,https://www.tiktok.com/@ninaghoulina/video/7446518328429972766
Moisturizing Bath & Body Oil,Dr. Teal's,Perfume,Add in maple and vanilla extract,No,,https://www.tiktok.com/@ninaghoulina/video/7445079600394177823
Cocoa Butter Formula,Palmer's,Cellulite Reduction,Use after applying Dr. Teal's Bath & Body Oil,No,,https://www.tiktok.com/@ninaghoulina/video/7445079600394177823
Alcohol-free Stridex Pads,Stridex,Foot Calluses,Red box. Leave on until dry.,No,,https://www.tiktok.com/@ninaghoulina/video/7444665873626909983
Hydrating Milky Toner,Byoma,Makeup,Mix with foundation and apply,Yes,Glazing Milk by Rhode,https://www.tiktok.com/@ninaghoulina/video/7443990096040185119
Water and Sugar Lip Scrub + Hyaluronic Acid Serum + Lip Stain + Vaseline,Various,Full Lips,Apply all in order. No specific brands mentioned.,Yes,Lip Filler,https://www.tiktok.com/@ninaghoulina/video/7441996298082848046
Vitamin E,,Perfume Stretching,Mix some fragrance into the vitamin E,No,,https://www.tiktok.com/@ninaghoulina/video/7446876162476887326
I'm A Musk,Fine'ry,Perfume,Smells like old books,No,,https://www.tiktok.com/@ninaghoulina/video/7440257760408685866
Mysterious Nomad,Fine'ry,Perfume,Smells like a spicy lemon tart,Yes,Gypsy Water by Byredo,https://www.tiktok.com/@ninaghoulina/video/7440209842377133358
Lightning Wand,Hero Cosmetics,Hyperpigmentation Under Eye,,No,,https://www.tiktok.com/@ninaghoulina/video/7439846468074360110
Discolouration Correcting Serum,Good Molecules,Hyperpigmentation Under Eye,,No,,https://www.tiktok.com/@ninaghoulina/video/7439846468074360110
Personal Cleaning Pads,Tucks,Eye Bags or Puffiness,Place in refridgerator for storage,Yes,Water Drench Hydra-Gel Eye Patches by Peter Thomas Roth,https://www.tiktok.com/@ninaghoulina/video/7439359210674031914
Jawhari,Daniel René,Perfume,Unisex,No,,https://www.tiktok.com/@ninaghoulina/video/7439065495459892526
Clear Calamine Lotion,Various,Eliminates eye creasing,,No,,https://www.tiktok.com/@ninaghoulina/video/7437923410874830123
Chafing Gel,Equate,Hides deep pores,,No,,https://www.tiktok.com/@ninaghoulina/video/7438784954189827371
Recipe: 1 tbsp Vitamin E oil + 1 tbsp Glycerin + splash of Maple Extract + 4 drops Honey Almond fragrance + dash of Sweet Vanilla & Sandalwood fragrance,Various,Perfume,Mix ingredients in a spray bottle and top off with distilled water,Yes,Sticky Dates by Lush,https://www.tiktok.com/@ninaghoulina/video/7437622321592044846
Witch Hazel + dollop of Glycerin,Various,Makeup Setting Spray,Mix ingredients in a spray bottle and top off with distilled water,Yes,Fix+ by Mac Cosmetics,https://www.tiktok.com/@ninaghoulina/video/7437243896184229163
Therapy Cleansing Oil,Palmer's,Sebaceous Filaments,Soak a pad in the oil and let sit on sebaceous filaments then scrub away,No,,https://www.tiktok.com/@ninaghoulina/video/7436807345402957102
